month,route_id,period,num_passengers,avg_additional_stop_time,avg_additional_travel_time,customer_journey_time_performance,date,year,year_month,data_source,frequency,transit_mode
10,D,peak,3034881.0,1.3559984,1.0570947,0.78265196,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,E,offpeak,3639717.2,1.218205,0.34384543,0.8466005,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,E,peak,4217139.5,1.0133996,-0.7258455,0.91785735,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,F,offpeak,4409933.0,1.6536559,0.24020526,0.79470634,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,F,peak,5116906.0,1.3256178,-0.56526077,0.876164,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,G,offpeak,1268294.8,1.2728113,1.1273284,0.81021327,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,G,peak,1455285.4,1.1672384,0.72943217,0.81490487,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,JZ,offpeak,1590596.9,1.4250147,0.8596062,0.77862114,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,JZ,peak,1663525.6,1.3235312,0.5425427,0.8207633,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,L,offpeak,2925497.2,0.74410355,0.5206234,0.91792256,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,L,peak,3067645.8,0.7560702,0.49603692,0.9324002,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,M,offpeak,1869873.1,1.9422972,0.33661574,0.7815516,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,M,peak,2180939.2,1.6107941,0.04464509,0.8155117,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,N,offpeak,2739615.0,1.4573787,0.95019406,0.774824,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,N,peak,3102566.0,1.5041677,0.70523804,0.8031288,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,Q,offpeak,3377960.2,1.4094087,0.72016126,0.7816715,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,Q,peak,3838658.2,1.3167579,0.91677284,0.7883151,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,R,offpeak,3630146.8,1.7196065,0.21520771,0.7899106,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,R,peak,4181815.8,1.5464576,0.012399053,0.83681947,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S Fkln,offpeak,214829.89,0.76561767,0.031292215,0.9424756,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S Fkln,peak,208621.62,0.5809143,0.024787031,0.9385855,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S Rock,offpeak,36574.645,1.1602392,-0.71293116,0.87086797,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,S Rock,peak,24367.299,0.8639437,-1.214525,0.89190334,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,W,offpeak,1259631.0,0.89975363,0.29097405,0.8832038,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
10,W,peak,1603162.2,0.92592615,0.04273375,0.9067226,2024-10-01,2024,2024-10,subway_metrics,monthly,subway
9,1,offpeak,4436528.0,1.0456676,0.80042636,0.8722573,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,1,peak,4867927.5,1.0138668,0.7138606,0.89541477,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,2,offpeak,2764587.8,1.3143607,0.71197104,0.8262101,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,2,peak,3240494.5,1.0437007,0.38953578,0.87525326,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,3,offpeak,1968692.4,0.93181145,0.32374835,0.8792511,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,3,peak,2556601.0,0.84172016,0.34269726,0.8986757,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,4,offpeak,3672171.0,0.9810216,0.5630076,0.86092675,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,4,peak,3943581.2,0.9306672,0.44812366,0.874298,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,5,offpeak,2480130.5,1.1897842,0.7250947,0.8528712,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,5,peak,3236978.5,1.0093887,0.32883742,0.874032,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
9,6,offpeak,4905211.5,1.131218,0.71236914,0.87811214,2024-09-01,2024,2024-09,subway_metrics,monthly,subway
